Serial,LocationCode,TimeGroup,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240101063001,01,2024-01-01 06:30:00,0.0,1016.5444444444444,17.5,86.77777777777777,50.093333333333334,0.0022222222222222222
20240101064001,01,2024-01-01 06:40:00,0.0,1016.5889999999999,17.490000000000002,86.8,163.25,0.016
20240101065001,01,2024-01-01 06:50:00,0.0,1016.6600000000001,17.5,86.95,326.834,0.046
20240101070001,01,2024-01-01 07:00:00,0.0,1016.7299999999999,17.5,86.99,470.834,0.083
20240101071001,01,2024-01-01 07:10:00,0.0,1016.774,17.57,86.97,659.667,0.139
20240101072001,01,2024-01-01 07:20:00,0.6819300399999999,1016.9219999999999,17.630000000000003,86.17999999999999,889.6659999999999,0.24700000000000003
20240101073001,01,2024-01-01 07:30:00,0.6073700000000001,1016.992,17.740000000000002,85.41,1263.833,0.44699999999999995
20240101074001,01,2024-01-01 07:40:00,0.0,1017.094,17.9,85.41,2136.833,1.129
20240101075001,01,2024-01-01 07:50:00,0.0,1017.2700000000001,18.130000000000003,85.19,2598.001,1.597
20240101080001,01,2024-01-01 08:00:00,0.0,1017.4190000000001,18.29,84.38000000000001,2160.166,1.1800000000000002
20240101081001,01,2024-01-01 08:10:00,0.0,1017.4399999999999,18.3,83.78999999999999,2424.666,1.44
20240101082001,01,2024-01-01 08:20:00,0.0,1017.55,18.28,84.88,3204.5,2.369
20240101083001,01,2024-01-01 08:30:00,1.8334899999999998,1017.643,18.23,85.92,4376.418,4.183
20240101084001,01,2024-01-01 08:40:00,0.38300999999999996,1017.747,18.48,85.47999999999999,6681.334,9.765
20240101085001,01,2024-01-01 08:50:00,1.42532,1017.9119999999999,18.77,87.74,6693.834,11.859
20240101090001,01,2024-01-01 09:00:00,1.91588,1017.906,18.330000000000002,92.28999999999999,8395.25,17.368000000000002
20240101091001,01,2024-01-01 09:10:00,0.09,1017.9649999999999,18.02,97.37,7046.500999999999,12.612
20240101092001,01,2024-01-01 09:20:00,0.018,1018.1629999999999,17.73,99.92999999999999,5919.584,8.806999999999999
20240101093001,01,2024-01-01 09:30:00,0.018,1018.2050000000002,17.9,100.0,8838.918,17.564
20240101094001,01,2024-01-01 09:40:00,0.036,1018.131,18.080000000000002,100.0,5774.665,7.508
20240101095001,01,2024-01-01 09:50:00,0.024,1018.033,17.830000000000002,100.0,5437.75,7.032000000000001
20240101100001,01,2024-01-01 10:00:00,0.0,1018.043,17.75,100.0,9312.75,19.709
20240101101001,01,2024-01-01 10:10:00,0.036,1017.875,17.990000000000002,100.0,9500.664999999999,20.345999999999997
20240101102001,01,2024-01-01 10:20:00,0.024,1017.8149999999999,18.130000000000003,100.0,9711.583999999999,20.435
20240101103001,01,2024-01-01 10:30:00,0.012,1017.8209999999999,18.2,100.0,7952.500999999999,14.007
20240101104001,01,2024-01-01 10:40:00,0.576,1017.7130000000001,18.11,95.78999999999999,6422.501,9.333
20240101105001,01,2024-01-01 10:50:00,0.03,1017.5530000000001,18.21,93.92,7941.418,13.532999999999998
20240101110001,01,2024-01-01 11:00:00,0.198,1017.457,18.64,92.71000000000001,7700.916,13.197
20240101111001,01,2024-01-01 11:10:00,0.354,1017.2790000000001,18.78,87.1,6558.916,9.474
20240101112001,01,2024-01-01 11:20:00,0.246,1017.094,18.8,86.15,6868.249000000001,10.262
20240101113001,01,2024-01-01 11:30:00,0.16799999999999998,1016.866,18.939999999999998,84.1,8485.083,15.875
20240101114001,01,2024-01-01 11:40:00,0.06,1016.557,19.380000000000003,84.1,10389.833999999999,22.822
20240101115001,01,2024-01-01 11:50:00,0.15,1016.358,19.77,80.9,9784.75,20.508
20240101120001,01,2024-01-01 12:00:00,0.426,1016.1709999999999,19.869999999999997,80.09,11379.0,27.051
20240101121001,01,2024-01-01 12:10:00,0.974,1015.973,19.96,77.42,9266.167,18.217
20240101122001,01,2024-01-01 12:20:00,0.396,1015.823,19.81,78.0,9845.916000000001,20.456
20240101123001,01,2024-01-01 12:30:00,1.274,1015.673,20.04,76.07000000000001,16415.583000000002,55.607000000000006
20240101124001,01,2024-01-01 12:40:00,0.751,1015.509,20.35,74.86,13374.749,37.649
20240101125001,01,2024-01-01 12:50:00,1.3699999999999999,1015.4190000000001,20.29,74.1,10362.5,23.233
20240101130001,01,2024-01-01 13:00:00,0.391,1015.338,19.9,75.45,7872.249000000001,13.657
20240101131001,01,2024-01-01 13:10:00,0.144,1015.2729999999999,19.88,77.24,6294.5,8.642
20240101132001,01,2024-01-01 13:20:00,0.324,1015.0459999999999,19.67,76.37,6342.501,8.511
20240101133001,01,2024-01-01 13:30:00,0.041999999999999996,1014.999,19.490000000000002,77.68,5682.0,6.831
20240101134001,01,2024-01-01 13:40:00,0.11399999999999999,1014.9350000000001,19.31,78.28999999999999,4557.0830000000005,4.304
20240101135001,01,2024-01-01 13:50:00,0.0,1015.001,19.04,80.3,3202.0,2.369
20240101140001,01,2024-01-01 14:00:00,0.10800000000000001,1014.906,18.23,86.75,3045.083,2.151
20240101141001,01,2024-01-01 14:10:00,0.258,1014.926,17.869999999999997,89.61,3755.25,3.025
20240101142001,01,2024-01-01 14:20:00,0.036,1014.9130000000001,17.96,89.17999999999999,4500.3330000000005,4.3
20240101143001,01,2024-01-01 14:30:00,0.078,1014.7879999999999,18.2,88.3,4435.8330000000005,4.295
20240101144001,01,2024-01-01 14:40:00,0.018,1014.742,18.44,87.16,4597.3330000000005,4.648
20240101145001,01,2024-01-01 14:50:00,0.012,1014.665,18.71,85.76,4781.25,5.0280000000000005
20240101150001,01,2024-01-01 15:00:00,0.06599999999999999,1014.561,18.82,84.22999999999999,3589.832,2.979
20240101151001,01,2024-01-01 15:10:00,0.0,1014.5409999999999,18.7,84.72999999999999,3289.667,2.446
20240101152001,01,2024-01-01 15:20:00,0.13799999999999998,1014.592,18.580000000000002,85.6,2496.085,1.4929999999999999
20240101153001,01,2024-01-01 15:30:00,0.23399999999999999,1014.634,18.43,84.87,2351.249,1.33
20240101154001,01,2024-01-01 15:40:00,0.048,1014.771,18.4,84.3,2545.168,1.5210000000000001
20240101155001,01,2024-01-01 15:50:00,0.018,1014.9559999999999,18.29,86.6,2437.0,1.465
20240101160001,01,2024-01-01 16:00:00,0.0,1015.066,18.2,87.58,1810.666,0.861
20240101161001,01,2024-01-01 16:10:00,0.072,1015.1719999999999,17.98,89.35,1130.0,0.358
20240101162001,01,2024-01-01 16:20:00,0.078,1015.32,17.68,90.42,1000.582,0.28600000000000003
20240101163001,01,2024-01-01 16:30:00,0.0,1015.4710000000001,17.5,91.17999999999999,795.4159999999999,0.213
20240101164001,01,2024-01-01 16:40:00,0.024,1015.5840000000001,17.5,91.84,663.1659999999999,0.152
20240101165001,01,2024-01-01 16:50:00,0.156,1015.6879999999999,17.44,93.07000000000001,368.66700000000003,0.061
20240101170001,01,2024-01-01 17:00:00,0.072,1015.774,16.96,96.78999999999999,172.834,0.018
20240101171001,01,2024-01-01 17:10:00,0.072,1015.9159999999999,16.39,100.0,95.833,0.006
20240101172001,01,2024-01-01 17:20:00,0.045,1016.04125,16.2,100.0,37.8125,0.0025
20240102062001,01,2024-01-02 06:20:00,0.0,1014.5114285714286,12.614285714285714,100.0,100.23714285714286,0.015714285714285715
20240102063001,01,2024-01-02 06:30:00,0.0,1014.543,12.7,100.0,419.91700000000003,0.09
20240102064001,01,2024-01-02 06:40:00,0.0,1014.552,12.62,100.0,1164.334,0.475
20240102065001,01,2024-01-02 06:50:00,0.0,1014.6,12.65,100.0,2250.335,1.684
20240102070001,01,2024-01-02 07:00:00,0.0,1014.6510000000001,12.99,100.0,4352.5830000000005,8.296000000000001
20240102071001,01,2024-01-02 07:10:00,0.06599999999999999,1014.8100000000001,14.440000000000001,100.0,8052.6669999999995,35.989999999999995
20240102072001,01,2024-01-02 07:20:00,0.39,1014.8520000000001,15.55,100.0,8764.0,28.905
20240102073001,01,2024-01-02 07:30:00,0.11399999999999999,1014.924,16.240000000000002,100.0,15173.168,101.449
20240102074001,01,2024-01-02 07:40:00,0.06,1014.984,18.97,100.0,25676.25,265.023
20240102075001,01,2024-01-02 07:50:00,0.11399999999999999,1014.905,22.21,90.75,32754.749,386.962
20240102080001,01,2024-01-02 08:00:00,0.294,1014.863,24.48,71.4,39953.71000000001,513.664
20240102081001,01,2024-01-02 08:10:00,0.421,1014.8700000000001,25.97,63.989999999999995,46366.742,635.495
20240102082001,01,2024-01-02 08:20:00,0.31799999999999995,1014.808,27.1,59.17,52176.036,767.845
20240102083001,01,2024-01-02 08:30:00,0.72,1014.7969999999999,27.78,55.52,57116.18199999999,908.43
20240102084001,01,2024-01-02 08:40:00,0.984,1014.801,28.2,52.96,60843.081999999995,1006.1470000000002
20240102085001,01,2024-01-02 08:50:00,0.10200000000000001,1014.847,29.01,52.95,66731.44399999999,1164.027
20240102090001,01,2024-01-02 09:00:00,0.156,1014.7819999999999,31.01,47.78,70884.743,1277.5529999999999
20240102091001,01,2024-01-02 09:10:00,0.08399999999999999,1014.6959999999999,32.07,45.059999999999995,75632.265,1369.803
20240102092001,01,2024-01-02 09:20:00,0.6666666666666666,1014.6577777777778,32.71111111111111,41.55555555555556,81495.06888888888,1462.6733333333332
20240102093001,01,2024-01-02 09:30:00,0.708,1014.5409999999999,32.2,41.67,89049.711,1540.396
20240102094001,01,2024-01-02 09:40:00,0.21600000000000003,1014.441,32.89,39.65,97289.45999999999,1594.301
20240102095001,01,2024-01-02 09:50:00,0.46799999999999997,1014.267,33.88,37.9,102983.39199999999,1631.142
20240102100001,01,2024-01-02 10:00:00,0.462,1014.1469999999999,34.5,36.79,106164.93899999998,1659.6
20240102101001,01,2024-01-02 10:10:00,0.186,1014.001,34.81,35.28,106549.291,1671.3059999999998
20240102102001,01,2024-01-02 10:20:00,0.12,1013.7059999999999,35.57,34.22,105218.344,1674.377
20240102103001,01,2024-01-02 10:30:00,0.03,1013.552,37.08,32.38,105219.601,1669.696
20240102104001,01,2024-01-02 10:40:00,0.174,1013.3979999999999,37.96,29.79,105003.79699999999,1689.693
20240102105001,01,2024-01-02 10:50:00,0.9547599999999999,1013.25,37.9,29.29,106520.36000000002,1708.5400000000002
20240102110001,01,2024-01-02 11:00:00,0.35697,1013.0959999999999,37.480000000000004,29.8,110266.48500000002,1710.2310000000002
20240102111001,01,2024-01-02 11:10:00,1.5182600000000002,1012.905,37.33,29.07,111173.90800000001,1734.1950000000002
20240102112001,01,2024-01-02 11:20:00,2.43475002,1012.662,36.94,29.580000000000002,111791.31499999999,1727.1889999999999
20240102113001,01,2024-01-02 11:30:00,0.72894,1012.47,37.33,29.77,115772.112,1760.063
20240102114001,01,2024-01-02 11:40:00,1.30814,1012.2389999999999,38.760000000000005,28.02,117015.55,1766.714
20240102115001,01,2024-01-02 11:50:00,0.0,1011.966,39.269999999999996,26.869999999999997,112245.025,1728.952
20240102120001,01,2024-01-02 12:00:00,0.0,1011.7149999999999,38.15,27.689999999999998,108139.884,1705.111
20240102121001,01,2024-01-02 12:10:00,0.53479,1011.46,39.160000000000004,27.130000000000003,112015.204,1703.988
20240102122001,01,2024-01-02 12:20:00,0.44247,1011.278,39.46,25.97,112181.237,1733.1009999999999
20240102123001,01,2024-01-02 12:30:00,1.30918,1011.1270000000001,38.739999999999995,27.29,105787.415,1664.084
20240102124001,01,2024-01-02 12:40:00,1.30285003,1010.933,37.61,29.05,108307.89199999999,1791.861
20240102125001,01,2024-01-02 12:50:00,2.66906997,1010.769,36.18,31.07,108356.048,1791.7810000000002
20240102130001,01,2024-01-02 13:00:00,2.8069499700000002,1010.642,35.78,32.03,84260.316,1329.92
20240102131001,01,2024-01-02 13:10:00,1.97877004,1010.5139999999999,33.88,34.45,44256.174,417.971
20240102132001,01,2024-01-02 13:20:00,3.32992997,1010.4860000000001,31.71,38.28,37400.804000000004,291.339
20240102133001,01,2024-01-02 13:30:00,2.851211077777778,1010.4366666666667,29.72222222222222,42.099999999999994,30432.314444444448,195.89444444444445
20240102134001,01,2024-01-02 13:40:00,1.20710001,1010.3030000000001,28.73,44.72,27421.751,160.57
20240102135001,01,2024-01-02 13:50:00,1.4918800300000001,1010.2370000000001,28.55,45.71,23782.666,122.992
20240102140001,01,2024-01-02 14:00:00,1.8796,1010.215,27.7125,47.4375,21780.62375,105.7775
20240102141001,01,2024-01-02 14:10:00,3.6970600599999996,1010.174,27.119999999999997,48.79,18929.334,81.012
20240102142001,01,2024-01-02 14:20:00,3.8287399800000004,1010.1120000000001,26.8,49.93,15685.083999999999,56.434000000000005
